AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2016,10,AMAZONAS,CHACHAPOYAS,BALSAS,Yungay,0.0,2.0,31.0,1.7
2016,6,AMAZONAS,CHACHAPOYAS,QUINJALCA,Amarilis-INIA,0.0,0.0,0.0,0.0
2016,9,AMAZONAS,LUYA,SAN JERONIMO,Yungay,3.0,0.0,0.0,0.0
2016,6,AMAZONAS,LUYA,LONGUITA,Canchan-INIA,0.0,5.0,100.0,0.88
2016,5,AMAZONAS,LUYA,LONYA CHICO,Huayro,3.0,8.0,152.0,0.8
2016,1,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,Canchan-INIA,0.0,8.0,86.0,0.9
2016,10,HUANCAVELICA,HUAYTARA,SANTO DOMINGO DE CAPILLAS,Canchan-INIA,4.0,0.0,0.0,0.0
2017,4,AMAZONAS,CHACHAPOYAS,QUINJALCA,Yungay,6.0,3.0,55.5,0.6
2017,6,AMAZONAS,CHACHAPOYAS,QUINJALCA,Huayro,0.0,0.0,0.0,0.0
2017,6,AMAZONAS,CHACHAPOYAS,ASUNCION,Yungay,0.0,5.0,87.5,0.9
2017,4,HUANCAVELICA,TAYACAJA,ACRAQUIA,Canchan-INIA,0.0,10.0,120.0,0.4
2017,2,HUANCAVELICA,TAYACAJA,COLCABAMBA,Yungay,0.0,105.0,1638.0,0.6
2017,8,HUANCAVELICA,TAYACAJA,COLCABAMBA,Yungay,174.0,0.0,0.0,0.0
2018,7,AMAZONAS,CHACHAPOYAS,SONCHE,Huayro,0.0,0.0,0.0,0.0
2018,6,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Huayro,0.0,1.0,16.0,1.2
2018,12,AMAZONAS,CHACHAPOYAS,HUANCAS,Huayro,0.0,0.0,0.0,0.0
2018,7,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Yungay,0.0,9.0,138.6,1.2
2018,3,HUANCAVELICA,TAYACAJA,SURCUBAMBA,Yungay,0.0,0.0,0.0,0.0
2018,1,HUANCAVELICA,TAYACAJA,DANIEL HERNANDEZ,Perricholi,0.0,0.0,0.0,0.0
2019,5,AMAZONAS,LUYA,LUYA,Huayro,4.0,30.0,630.0,1.8
2019,9,AMAZONAS,LUYA,CONILA,Amarilis-INIA,0.0,0.0,0.0,0.0
2019,3,AMAZONAS,LUYA,LONGUITA,Huayro,12.0,3.0,60.0,0.8
2019,9,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Yungay,0.0,10.0,176.0,1.43
2019,1,HUANCAVELICA,TAYACAJA,QUISHUAR,Canchan-INIA,0.0,0.0,0.0,0.0
2019,2,HUANCAVELICA,ACOBAMBA,PAUCARA,Canchan-INIA,0.0,0.0,0.0,0.0
2020,9,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Amarilis-INIA,4.0,3.0,52.23,0.54
2020,3,AMAZONAS,LUYA,LUYA,Canchan-INIA,3.0,13.0,260.0,1.2
2020,1,AMAZONAS,CHACHAPOYAS,OLLEROS,Yungay,0.0,3.0,56.4,1.0
2020,3,AMAZONAS,LUYA,CONILA,Yungay,3.0,15.0,330.0,1.5
2020,4,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Amarilis-INIA,0.0,0.0,0.0,0.0
2021,5,AMAZONAS,CHACHAPOYAS,BALSAS,Huayro,2.0,0.0,0.0,0.0
2021,2,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Huayro,1.0,1.0,17.0,0.6
2021,1,AMAZONAS,CHACHAPOYAS,LA JALCA,Yungay,0.0,0.0,0.0,0.0
2021,2,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Huayro,2.0,3.0,51.0,0.68
2021,9,AMAZONAS,CHACHAPOYAS,ASUNCION,Yungay,0.0,6.0,96.0,1.3
2021,10,LIMA,YAUYOS,AZANGARO,Yungay,0.0,0.0,0.0,0.0
2022,4,APURIMAC,COTABAMBAS,COTABAMBAS,Canchan-INIA,0.0,40.0,800.0,1.3
2022,5,AMAZONAS,LUYA,CONILA,Canchan-INIA,0.0,3.0,58.5,1.36
2022,5,AMAZONAS,CHACHAPOYAS,BALSAS,Yungay,1.0,0.0,0.0,0.0
2022,8,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Yungay,1.0,2.0,34.0,2.1
2022,4,AMAZONAS,CHACHAPOYAS,QUINJALCA,Amarilis-INIA,2.0,0.0,0.0,0.0
2022,11,AMAZONAS,CHACHAPOYAS,LA JALCA,Yungay,3.0,0.0,0.0,0.0
2023,4,AMAZONAS,CHACHAPOYAS,OLLEROS,Yungay,1.0,1.0,17.6,1.3
2023,4,AMAZONAS,CHACHAPOYAS,QUINJALCA,Yungay,3.0,3.0,53.0,1.1
2023,4,AMAZONAS,CHACHAPOYAS,ASUNCION,Huayro,10.0,1.0,18.0,1.2
2023,6,AMAZONAS,CHACHAPOYAS,LA JALCA,Huayro,15.0,30.0,534.0,0.8
2023,2,AMAZONAS,LUYA,PISUQUIA,Canchan-INIA,0.0,0.0,0.0,0.0
2023,1,AMAZONAS,LUYA,LUYA VIEJO,Huayro,2.0,2.0,40.0,2.4
2023,7,AMAZONAS,LUYA,SANTA CATALINA,Huayro,0.0,1.0,20.0,1.5
2023,7,AMAZONAS,LUYA,SANTO TOMAS,Yungay,0.0,2.0,40.0,1.0
2015,9,AMAZONAS,CHACHAPOYAS,BALSAS,Huayro,2.0,0.0,0.0,0.0
2015,12,AMAZONAS,CHACHAPOYAS,CHETO,Huayro,4.0,8.0,146.0,1.8
2015,8,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Huayro,0.0,4.0,68.0,1.1
2015,8,AMAZONAS,CHACHAPOYAS,SOLOCO,Amarilis-INIA,0.0,1.0,15.0,1.1
2015,1,AMAZONAS,LUYA,CONILA,Huayro,13.0,0.0,0.0,0.0
2015,8,AMAZONAS,LUYA,LUYA VIEJO,Huayro,0.0,1.0,18.7,0.8
2015,2,AMAZONAS,LUYA,LUYA,Yungay,0.0,0.0,0.0,0.0
2015,10,HUANCAVELICA,TAYACAJA,SALCAHUASI,Perricholi,0.0,0.0,0.0,0.0
2015,3,HUANCAVELICA,HUAYTARA,TAMBO,Canchan-INIA,0.0,0.0,0.0,0.0
2015,5,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,Canchan-INIA,0.0,25.0,265.0,0.45
2016,7,AMAZONAS,CHACHAPOYAS,CHETO,Yungay,0.0,4.0,72.0,0.9
2016,1,AMAZONAS,LUYA,SANTA CATALINA,Yungay,0.0,2.0,36.0,0.8
2016,2,AMAZONAS,LUYA,LONGUITA,Huayro,11.0,0.0,0.0,0.0
2016,8,HUANCAVELICA,TAYACAJA,QUICHUAS,Perricholi,5.0,0.0,0.0,0.0
2016,4,HUANCAVELICA,TAYACAJA,HUARIBAMBA,Canchan-INIA,0.0,13.0,160.0,0.5
2016,3,HUANCAVELICA,TAYACAJA,ACOSTAMBO,Yungay,0.0,21.0,336.0,0.45
2016,8,HUANCAVELICA,TAYACAJA,PAZOS,Canchan-INIA,0.0,0.0,0.0,0.0
2017,5,AMAZONAS,LUYA,LONGUITA,Huayro,3.0,11.0,209.0,0.7
2017,2,AMAZONAS,CHACHAPOYAS,CHETO,Amarilis-INIA,0.0,1.0,16.8,0.7
2017,6,AMAZONAS,CHACHAPOYAS,SONCHE,Amarilis-INIA,0.0,0.0,0.0,0.0
2017,10,AMAZONAS,CHACHAPOYAS,SONCHE,Yungay,0.0,1.0,17.4,0.65
2018,1,HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,Yungay,0.0,0.0,0.0,0.0
2018,3,HUANCAVELICA,TAYACAJA,SANTIAGO DE TUCUMA,Yungay,0.0,8.0,103.2,0.5
2018,8,HUANCAVELICA,ACOBAMBA,ROSARIO,Yungay,0.0,14.0,189.0,0.8
2019,3,AMAZONAS,LUYA,LONYA CHICO,Yungay,0.0,3.0,61.5,1.2
2019,10,AMAZONAS,LUYA,LUYA,Huayro,0.0,0.0,0.0,0.0
2019,5,AMAZONAS,CHACHAPOYAS,LEVANTO,Huayro,20.0,0.0,0.0,0.0
2019,7,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Huayro,0.0,0.0,0.0,0.0
2019,7,HUANCAVELICA,ACOBAMBA,MARCAS,Yungay,0.0,5.0,69.0,0.85
2019,7,HUANCAVELICA,ACOBAMBA,ROSARIO,Yungay,0.0,26.0,325.0,0.81
2020,11,AMAZONAS,LUYA,CONILA,Yungay,2.0,0.0,0.0,0.0
2021,2,AMAZONAS,LUYA,MARIA,Huayro,0.0,0.0,0.0,0.0
2021,3,AMAZONAS,CHACHAPOYAS,GRANADA,Amarilis-INIA,2.0,1.0,17.0,0.53
2021,6,AMAZONAS,CHACHAPOYAS,SONCHE,Yungay,1.0,0.0,0.0,0.0
2021,7,AMAZONAS,CHACHAPOYAS,HUANCAS,Huayro,0.0,3.0,52.0,1.3
2021,12,AMAZONAS,CHACHAPOYAS,SONCHE,Yungay,0.0,0.0,0.0,0.0
2022,1,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Yungay,0.0,2.0,34.0,1.4
2022,2,AMAZONAS,LUYA,SANTO TOMAS,Huayro,24.0,4.0,72.0,1.4
2022,3,AMAZONAS,CHACHAPOYAS,QUINJALCA,Yungay,1.0,4.0,68.8,1.2
2022,1,APURIMAC,GRAU,CURASCO,Canchan-INIA,0.0,0.0,0.0,0.0
2022,5,LIMA,CAÑETE,SAN LUIS,UNICA,7.0,0.0,0.0,0.0
2022,6,AMAZONAS,LUYA,LUYA,Yungay,2.0,4.0,80.0,1.75
2022,5,AMAZONAS,LUYA,TINGO,Canchan-INIA,0.0,4.0,52.0,1.47
2022,9,LIMA,YAUYOS,CHOCOS,Canchan-INIA,1.5,0.0,0.0,0.0
2022,10,LIMA,YAUYOS,AZANGARO,Yungay,1.5,0.0,0.0,0.0
2022,12,AMAZONAS,LUYA,LAMUD,Amarilis-INIA,2.0,0.0,0.0,0.0
2023,5,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Huayro,1.0,0.0,0.0,0.0
2023,3,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Huayro,0.0,4.0,70.0,1.2
2023,5,LIMA,YAUYOS,LINCHA,Canchan-INIA,0.0,2.5,21.4,1.2
2023,7,AMAZONAS,CHACHAPOYAS,OLLEROS,Huayro,1.0,0.0,0.0,0.0
2021,8,LIMA,CAÑETE,IMPERIAL,UNICA,0.0,21.0,525.0,0.45
2016,8,AMAZONAS,CHACHAPOYAS,OLLEROS,Yungay,0.0,0.0,0.0,0.0
2019,8,HUANCAVELICA,TAYACAJA,ACRAQUIA,Canchan-INIA,0.0,0.0,0.0,0.0
2015,8,HUANCAVELICA,TAYACAJA,PAZOS,Canchan-INIA,7.0,0.0,0.0,0.0
2015,11,AMAZONAS,CHACHAPOYAS,CHETO,Huayro,9.0,5.0,90.0,1.7
2018,1,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,Huayro,7.0,0.0,0.0,0.0
