NOMBDEP,NOMBPROV,NOMBDIST,noviembre,enero,anual,febrero,diciembre,marzo,julio,junio,septiembre,octubre,verano,invierno,mayo,oto�o,agosto,abril
AMAZONAS,BAGUA,ARAMANGO,16.705349091797636,16.459684644143955,16.108780871531792,16.391817853448106,16.685998390244748,16.243997565687703,14.864987214679218,15.604020020526628,15.529761501468322,16.44990389103731,16.37159480729632,15.157828520627923,16.435173000168007,16.2517807898752,15.121455959131643,16.69684923443577
AMAZONAS,BAGUA,BAGUA,20.468198175857143,19.670996813918364,19.824003367499447,19.631473659704625,20.159281653033922,19.604833459634616,19.371272447436144,19.983100351776024,19.89787127997563,20.580929740992232,19.630360990890132,19.708120499672702,20.54277650015573,20.14511783512101,19.482473774140853,20.101088653158165
AMAZONAS,BAGUA,COPALLIN,16.27561854730518,16.379788395658128,16.032261003493183,16.493031395306684,16.407879580270958,16.404539814254132,14.610381981711518,15.71849028492629,15.574762063892091,16.12208247386284,16.42268840098903,15.145171778839105,16.187740428490233,16.13584041002204,15.056780031331591,16.447595815247197
AMAZONAS,BAGUA,EL PARCO,20.0,19.98019305142494,19.954433540606864,19.97102679614767,20.0,19.92364495210715,18.20490321073943,19.851754117891065,19.216855814578167,19.99976549850152,19.9678717169158,18.400063589826264,20.0,20.0,18.186837276296174,20.0
AMAZONAS,BAGUA,IMAZA,18.511649147238995,18.321998982799105,18.20926714543705,18.53388159978709,18.432474827933287,18.56798968775173,17.433604041996933,18.002770139587337,17.895670862841243,18.41486701069757,18.46721899964078,17.652926035127294,18.579541147945708,18.440540130172128,17.584693761192234,18.78639205560919
AMAZONAS,BAGUA,LA PECA,18.207345071594318,17.770646871940368,17.72357219408702,17.711553345876027,18.084328950693685,17.610944653594512,16.667071330414107,17.69422674381702,17.393204999805594,18.09906904316572,17.698328359099154,16.977682308756595,18.21075625881765,18.04363701181203,16.892694659232628,18.080941640549398
AMAZONAS,BONGARA,CHISQUILLA,8.787267652466133,9.645824204201169,8.24107260758095,9.821700294039655,9.306805428958006,9.78624529105159,5.769827120052266,6.902794957884567,7.205864799631473,8.385409343730869,9.753937021772186,6.366833387018732,8.154223228032384,8.097143463252783,6.007586269686346,9.277844417733622
AMAZONAS,BONGARA,CHURUJA,11.983919756631572,12.070052897313643,11.145005200539412,12.126313420972078,12.0988965697083,12.105373906764763,9.25671440134754,10.27018474120002,10.29538973591433,11.402121604062268,12.097476958059156,9.469917100065132,11.25145953464953,11.204966866131672,8.939864854988667,12.133576101546302
AMAZONAS,BONGARA,COROSHA,10.92270546437474,11.340309339792102,10.219820059025588,11.643732618725666,11.033324674946297,11.49445229730905,7.93280687004714,9.046273074859782,9.333940093596285,10.28058457473553,11.496531331261396,8.579608400054168,10.147885817159615,10.068662407525167,8.319460812924387,11.044824353571485
AMAZONAS,BONGARA,CUISPES,11.925455716032156,12.343025049307006,11.310968873272067,12.433688212520718,12.28603098398613,12.449017328840606,9.683563598322356,10.36839771446144,10.687290972865647,11.685055610690851,12.408938266529493,9.894414223247626,11.494744050166078,11.349192557595911,9.492905721633445,12.428199399817519
AMAZONAS,BONGARA,FLORIDA,10.823014453398372,11.417800603134356,10.269671994665512,11.619972317929248,11.077225065144507,11.59931388759645,8.299061886654236,9.091693248822189,9.528506601189108,10.459863154843996,11.54618288488259,8.780421177596237,10.235815240557018,10.124346031794667,8.456265721586037,11.276145608738203
AMAZONAS,BONGARA,JAZAN,13.11923905809853,13.452678738788878,12.699834396400124,13.660411703396692,13.433325939519705,13.62015512123407,11.045654238287844,11.567824851052054,11.976081709841935,13.091994863214644,13.577947686999545,11.36384866554558,12.752419530020312,12.6459086660068,11.037460268836485,13.481407765950197
AMAZONAS,BONGARA,JUMBILLA,9.276484603957078,10.235157099631271,8.847421605821387,10.453190496443456,9.786732407690689,10.447524378114059,6.629386967775222,7.515922519576884,7.961013843976574,8.85674326508213,10.379373371324114,7.035410014524065,8.742606987590294,8.702784799812768,6.670174044193773,9.98963982073385
AMAZONAS,BONGARA,RECTA,9.554401706140396,10.894952709202599,9.310145875553902,11.185607148445781,10.122230811950521,11.181236511526457,6.977639892599664,8.14341533486584,8.390777725343614,9.296308160336226,11.098964605307257,7.474786023201695,9.206732238344603,9.128708776427997,7.007997670411794,10.602511044591289
AMAZONAS,BONGARA,SAN CARLOS,9.331546808657274,10.282484346760258,8.90499558664578,10.395403219882539,9.9382740032003,10.405823734025347,6.78886846516951,7.479080802790634,7.856361761558763,9.071472920647896,10.361506142185691,7.009466420727169,8.874381374919151,8.812006324370802,6.652036900850733,9.995005804893333
AMAZONAS,BONGARA,SHIPASBAMBA,12.918174953814146,12.841331013486789,12.263585878097567,12.997532121832055,12.893452620858051,13.060940289056125,10.633736763884054,11.096587467684788,11.833067911763578,12.70362935144759,12.965955976730733,11.085312904408987,12.25566963424445,12.19668084763048,10.797436565368521,13.128121507210942
AMAZONAS,BONGARA,VALERA,11.601624579090657,12.046881443097387,11.062529059308426,12.353084154350585,11.922470058278556,12.25965110842159,9.357563354676657,10.024914941567085,10.331668840965614,11.12853125532993,12.218830020141214,9.680939426960428,11.025502335751233,10.959080696739733,9.426365087845596,12.042858458730631
AMAZONAS,BONGARA,YAMBRASBAMBA,14.201580484495315,14.375589601757948,13.776852280908772,14.578660609536545,14.31923870287821,14.61162239009556,12.247225923119277,12.997907419280104,13.135213670704527,14.057988306744647,14.521212006632592,12.564209723380232,13.985588571878544,13.849617613608723,12.328437813726277,14.538981068221434
AMAZONAS,CHACHAPOYAS,ASUNCION,8.421172429574192,9.561039001782808,8.071328309356865,9.87320020859948,9.086387284054744,9.820438713622872,5.561394060958127,6.451963405413677,6.816055000955245,8.104051381149098,9.753466892856705,6.076597256381311,7.895442162521508,7.8837129565303075,5.594317669992806,9.123497136589892
AMAZONAS,CHACHAPOYAS,BALSAS,12.372397888595351,11.8510363111097,11.926022012345886,12.043001632457257,12.262153881779252,12.123084118019955,10.819412832908895,11.34074294490551,11.88223628446208,12.595871494136613,12.006129862224105,11.306465627486263,12.24700409850744,11.998072627763033,11.139777158507883,12.439711764789665
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,10.241129679080233,10.986212176368847,9.991267601496126,11.360527703994357,10.747381749619477,11.346162624882723,8.143823000336203,8.743238565404301,9.4231192993312,10.139159157414891,11.230051631614616,8.531530269113645,9.830820963748062,9.779372647464072,8.237432491393403,10.845357743760909
AMAZONAS,CHACHAPOYAS,CHETO,9.623281174148188,10.863090853670577,9.291272982996496,11.068514798590671,10.779800912673442,11.069208535972352,6.906291762129235,7.42277769754752,8.413300869865175,9.355785844233003,11.008485211479067,7.335088744118381,9.017068739355734,8.96539838422815,7.0575875986134555,10.277608546098673
AMAZONAS,CHACHAPOYAS,CHILIQUIN,9.360368843776047,10.252664848310788,9.03753817126306,10.489698654930226,10.02441970178328,10.444555045037934,6.7977375601795105,7.638925345319258,7.909646325092089,9.20251350501594,10.39304900918776,7.199610731898223,8.90121185381741,8.851891186843966,6.840552876075719,9.983816292888292
