AÑO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRODUCTO,SIEMBRA,COSECHA,PRODUCCION,PRECIO_CHACRA
2016,1,HUANCAVELICA,TAYACAJA,SALCAHUASI,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,6,HUANCAVELICA,TAYACAJA,SURCUBAMBA,PAPA CANCHAN (mejoradas)- color,25.0,0.0,0.0,0.0
2016,7,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA CANCHAN (mejoradas)- color,0.0,35.0,378.0,0.5
2019,3,HUANCAVELICA,TAYACAJA,ANDAYMARCA,PAPA CANCHAN (mejoradas)- color,0.0,3.0,34.0,0.75
2017,4,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),10.0,10.0,130.0,0.5
2019,11,HUANCAVELICA,HUAYTARA,HUAYACUNDO ARMA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,1,AMAZONAS,LUYA,MARIA,PAPA CANCHAN (mejoradas)- color,0.0,1.0,19.5,1.4
2015,12,HUANCAVELICA,TAYACAJA,HUARIBAMBA,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2015,6,HUANCAVELICA,HUAYTARA,CORDOVA,PAPA CANCHAN (mejoradas)- color,0.0,9.0,95.0,0.45
2017,8,HUANCAVELICA,TAYACAJA,ACOSTAMBO,PAPA PERRICHOLI (mejoradas),5.0,0.0,0.0,0.0
2018,9,HUANCAVELICA,ACOBAMBA,ANDABAMBA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2022,7,LIMA,CAÑETE,SAN LUIS,PAPA UNICA (mejoradas)-color,2.0,0.0,0.0,0.0
2016,12,HUANCAVELICA,HUAYTARA,QUITO-ARMA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2018,12,APURIMAC,GRAU,HUAYLLATI,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2015,3,HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,PAPA PERRICHOLI (mejoradas),0.0,0.0,0.0,0.0
2017,10,HUANCAVELICA,TAYACAJA,ACRAQUIA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2020,10,AMAZONAS,LUYA,LUYA,PAPA CANCHAN (mejoradas)- color,4.0,0.0,0.0,0.0
2016,6,HUANCAVELICA,TAYACAJA,HUACHOCOLPA,PAPA CANCHAN (mejoradas)- color,0.0,10.0,111.0,0.5
2019,1,HUANCAVELICA,HUAYTARA,LARAMARCA,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2016,4,HUANCAVELICA,HUAYTARA,OCOYO,PAPA CANCHAN (mejoradas)- color,0.0,0.0,0.0,0.0
2021,5,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,PAPA CANCHAN (mejoradas)- color,0.0,2.0,28.0,0.9
2015,2,HUANCAVELICA,TAYACAJA,SALCABAMBA,PAPA CANCHAN (mejoradas)- color,0.0,1.0,16.0,0.7
2021,1,LIMA,CAÑETE,IMPERIAL,PAPA UNICA (mejoradas)-color,0.0,20.0,500.0,0.45
2017,5,HUANCAVELICA,TAYACAJA,ACRAQUIA,PAPA PERRICHOLI (mejoradas),0.0,15.0,180.0,0.4
2016,11,AMAZONAS,LUYA,LONGUITA,PAPA CANCHAN (mejoradas)- color,1.0,0.0,0.0,0.0
2021,1,AMAZONAS,LUYA,TINGO,PAPA CANCHAN (mejoradas)- color,2.0,0.0,0.0,0.0
2020,11,AMAZONAS,LUYA,LUYA,PAPA CANCHAN (mejoradas)- color,12.0,0.0,0.0,0.0
