Especie,Subsp,Especie_Su,Nombre_com,Departamen,Provincia,Distrito,Longitud,Latitud,Altitud
Solanum phureja Juz. et Buk.,,Solanum phureja,Clavelina Amarilla,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-77.8041666667,-6.70888888889,2210.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Amarilla,AMAZONAS,CHACHAPOYAS,HUANCAS,-77.8775,-6.12638888889,2673.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Roja,AMAZONAS,CHACHAPOYAS,HUANCAS,-77.8775,-6.12638888889,2673.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Clavelina Roja,AMAZONAS,CHACHAPOYAS,HUANCAS,-77.8775,-6.12638888889,2673.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Roja,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Guinda,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Negra,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Blanca,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Morada,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Negra Larga,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Roja,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha Amarilla,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Huevo de Perdiz,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Limacc,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-77.6166666667,-6.18333333333,2753.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Peruanita,HUANCAVELICA,TAYACAJA,PAZOS,-75.0852777778,-12.2705555556,3950.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Peruanita,HUANCAVELICA,TAYACAJA,PAZOS,-75.0852777778,-12.2705555556,3950.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pukuya,HUANCAVELICA,TAYACAJA,PAZOS,-75.1,-12.2666666667,3947.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Allas Hualluco,JUNIN,JAUJA,APATA,-75.3533333333,-11.8547222222,3340.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Michi Pilish,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Michi Pilish,HUANUCO,HUAMALIES,PUÑOS,-76.8833333333,-9.4975,3650.0
Solanum stenotomum,subsp. goniocalyx,Solanum stenotomum subsp. goniocalyx,Blanco Mosno,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Tatashina,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mossokk Suyt'u,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Pillush,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Yana Suito,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum phureja Juz. et Buk.,,Solanum phureja,Chaucha,PASCO,PASCO,PAUCARTAMBO,-75.8541666667,-10.7544444444,3339.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Mayupata,JUNIN,JUNIN,ULCUMAYO,-75.8775,-10.9666666667,3633.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Vacapa Sullun,JUNIN,TARMA,PALCAMAYO,-75.7730555556,-11.295,3338.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,Wikla,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,-76.48,-10.52,4196.0
Solanum chaucha Juz. et Buk.,,Solanum chaucha,Huamali/Wawali,JUNIN,TARMA,PALCAMAYO,-75.8,-11.2244444444,4182.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,s/n,JUNIN,TARMA,PALCAMAYO,-75.7730555556,-11.295,3338.0
Solanum stenotomum,subsp. stenotomum,Solanum stenotomum subsp. Stenotomum,s/n,JUNIN,TARMA,PALCAMAYO,-75.7730555556,-11.295,3338.0
