ID,CULTVRNAME,LAT,LONG,SPP2
6273,Waswa Gallo,-13.88,-72.77,Papa
6274,Acu Papa,-13.88,-72.77,Papa
6275,Yurac Papa,-13.88,-72.77,Papa
6276,Allqa Weqocho,-13.88,-72.77,Papa
6277,Puca Qavillas,-13.88,-72.77,Papa
6278,Ccompis,-13.88,-72.77,Papa
6279,Yurac Papa,-13.88,-72.77,Papa
6280,Papa Ernesto,-13.88,-72.77,Papa
6281,Maqta Papa,-13.88,-72.77,Papa
6282,Puca Suytu,-13.88,-72.77,Papa
6283,Yana Suytu,-13.88,-72.77,Papa
6284,Imilla,-13.68,-73.12,Papa
6285,Yurac Sisa,-13.68,-73.12,Papa
6286,Yana Palta,-13.5,-72.93,Papa
6287,Anqas Warmi,-12.9,-74.27,Papa
6288,Muru Chiliqui,-12.9,-74.27,Papa
6289,Muru Qapchala,-12.9,-74.27,Papa
6290,Yana Saqa Palta,-12.9,-74.27,Papa
6291,Anqas Warmi,-12.9,-74.27,Papa
6292,Yurac Sisa,-12.9,-74.27,Papa
6293,Sarda,-13.23,-74.35,Papa
6294,Qurpa,-13.05,-73.7,Papa
6295,Huantina,-13.05,-73.7,Papa
6296,Pumuru,-13.05,-73.7,Papa
6297,Sawintu,-13.05,-73.7,Papa
6298,Huantina,-13.05,-73.7,Papa
6299,Qapu,-13.05,-73.7,Papa
6300,Qakas,-13.05,-73.7,Papa
6301,Tambina,-13.05,-73.7,Papa
6302,Saywa,-13.05,-73.7,Papa
6304,Qarpas,-13.05,-73.7,Papa
6305,Puca Papa,-12.93,-74.25,Papa
6306,Puca Uki -awi,-12.95,-74.02,Papa
6307,Wawacha,-12.93,-74.25,Papa
6308,Punquina,-12.93,-74.25,Papa
6309,Yana Mendez,-12.93,-74.25,Papa
6310,Warancarquina,-12.93,-74.25,Papa
6311,Cullqui Marquina,-12.95,-74.02,Papa
6312,Yana Kallwar,-12.95,-74.02,Papa
6313,Pragada,-12.9,-74.27,Papa
6314,Ruyaq Lenwas,-12.9,-74.27,Papa
6315,Puca Qapchala,-12.9,-74.27,Papa
6316,Punquina,-12.9,-74.27,Papa
6317,Yurac Winchina,-13.02,-73.98,Papa
6318,Yana Uqi -awi,-13.02,-73.98,Papa
6319,Paqarin,-13.02,-73.98,Papa
6320,Wayru,-13.27,-74.2,Papa
6321,Wayru,-13.27,-74.2,Papa
6322,Ruyru Wayru,-13.27,-74.2,Papa
6324,Yana Huayro,-12.95,-74.02,Papa
6326,Kallwaysu,-13.27,-74.2,Papa
6327,Kallwaysu,-13.27,-74.2,Papa
6328,Kallwaysu,-13.27,-74.2,Papa
6329,Wayru,-13.27,-74.2,Papa
