NOMBDEP,NOMBPROV,NOMBDIST,INVIERNO,MAYO,AGOSTO,OCTUBRE,MARZO,DICIEMBRE,ENERO,SETIEMBRE,VERANO,JUNIO,NOVIEMBRE,ABRIL,FEBRERO,ANUAL,JULIO,PRIMAVERA,OTOÑO
AMAZONAS,BAGUA,ARAMANGO,26.86317446962516,27.111162490531814,26.810781617388756,28.228055362812107,27.505999344953857,28.109687037430533,27.0760846742055,27.614822620218433,27.140191622281925,26.405174044232705,28.51542844254527,27.367891747521337,26.800661801952874,27.339404391515068,26.1777806593822,28.285173508508716,26.955340670710576
AMAZONAS,BAGUA,BAGUA,30.52041905468066,30.209566481957562,30.530454723880638,31.899539404477157,30.830805303865596,31.484103972351807,30.87337251228374,31.54853071439512,30.779753536600523,29.663877073790715,31.98766770930097,30.59645323956089,30.63666681015198,30.763351297049947,29.664002433360288,31.795084889613744,30.13068340444669
AMAZONAS,BAGUA,COPALLIN,26.64012411593181,26.692143138448028,26.5662676534991,28.179435802730584,26.824875831372708,27.838547711270635,26.916340289193414,27.50680418576739,26.790089166387094,26.232811112883837,28.38500482708297,26.87944666734589,26.628350024871565,27.002582875274612,26.114086965740356,28.140427555683722,26.60246043553968
AMAZONAS,BAGUA,EL PARCO,30.007969878776414,29.98942428404859,30.010679679668893,31.877390650757455,30.163648240596135,31.61346262137726,30.32496497232612,31.386001215555435,30.17462645334717,29.754390054062746,31.955580175991308,30.036462461634706,30.057249963906024,30.221604642108325,29.724099434025874,31.855572787624162,29.98450210931177
AMAZONAS,BAGUA,IMAZA,26.780580496866897,27.356814339939685,26.74929474362616,27.94789235790477,27.826917850729416,28.076469114314953,27.75981034958644,27.46562770317611,27.7117621431483,26.552791320668554,28.202206263670696,27.77597400978155,27.54750601964475,27.505353255234546,26.306141488025876,28.077454951197065,27.232303260565487
AMAZONAS,BAGUA,LA PECA,27.983187743891097,27.897389008181495,27.935676332219945,29.428440001160165,28.23654987282279,29.107692379405233,28.291174795862776,28.869487839398133,28.184245773245244,27.32925851732033,29.636496085278004,28.17513431477206,28.04443315326009,28.3235827445242,27.182074839794897,29.3950039222801,27.806831379904263
AMAZONAS,BONGARA,CHISQUILLA,20.433905980069756,20.349918055421142,20.45183043265674,21.365255183257695,19.03772973014098,20.60352881326267,19.647771244283295,20.6242543989765,19.237839645406815,20.46397085136902,21.544487577925242,19.84848983070931,18.998977740265076,20.25196101765649,20.2099613888374,21.166621642241473,20.209139670412913
AMAZONAS,BONGARA,CHURUJA,21.972715310654678,21.678592548983854,22.054749586945572,23.498583271900767,21.6255098972299,23.295401684249793,22.13016047888885,22.538370689511247,21.873656891632248,21.591060744198778,23.62185735026253,21.71976575674366,21.82890331661884,22.1301415028537,21.564802027089165,23.50022960294662,21.636295080929678
AMAZONAS,BONGARA,COROSHA,21.958891504804196,21.86981853023559,21.9915604703626,23.032463717353053,21.01569534687366,22.40067295164973,21.577897155323562,22.27980339754077,21.232240686803426,21.73298154554088,23.142842221628552,21.54419000006988,21.02437438470713,21.93594983513739,21.50969304194428,22.87234762073273,21.700576966941256
AMAZONAS,BONGARA,CUISPES,22.210704191639515,21.917310318100178,22.27865384474055,23.48732691179672,21.464352072455725,23.065427884686112,22.38101361967193,22.6402194058152,21.83046638324904,21.834175183388478,23.745258093082548,21.702241778044495,21.733608002497682,22.310118916837805,21.76971991508126,23.414299975677686,21.83806772465482
AMAZONAS,BONGARA,FLORIDA,21.72865607851188,21.55825229945953,21.76950259486438,23.021004293039624,20.967259353286167,22.36736366639817,21.54735939910471,22.249982012742052,21.198143885963447,21.445464172510817,23.18099046297946,21.35365696193976,21.040812064532798,21.736888058653783,21.336921737159876,22.88034334966478,21.448912848010913
AMAZONAS,BONGARA,JAZAN,23.552086551201672,23.08047854358532,23.655314827798044,24.702194739496214,22.880663315216957,24.22641749501301,23.678768346027724,24.063819134610984,23.26248650489135,22.826982512001656,24.869693258081288,23.02398372341312,23.177477739683294,23.600972585478576,22.895971590613637,24.600549232559853,22.964340270054485
AMAZONAS,BONGARA,JUMBILLA,21.181105597830417,20.780311450846124,21.263918923059276,22.03230838338173,19.914905225526738,21.396572065401795,20.479302273726578,21.466429591034604,20.124308487933074,20.846574758073192,22.193032440756753,20.366444685355464,19.981135183793114,20.928850959056835,20.76365777641985,21.878068007715687,20.637282360765806
AMAZONAS,BONGARA,RECTA,22.283650999251726,21.70361734994955,22.386748060400453,22.99181639171521,20.894156472114144,22.25937175760859,21.3768924977791,22.76476370838815,21.05070823267591,21.69012061978186,22.993221608630595,21.35987648673349,20.95612170519804,21.89550188772225,21.64764429499219,22.83375726765103,21.567456797881967
AMAZONAS,BONGARA,SAN CARLOS,20.57805069894131,20.467288225696986,20.61633105054969,21.75534268416331,19.37122455965895,21.091220566512817,20.417062541872625,20.749196479734476,19.824374133159083,20.43094203590596,22.243506541029227,20.05305783269516,19.60157641575202,20.615838727794884,20.287824569678325,21.593671602060017,20.346299664178048
AMAZONAS,BONGARA,SHIPASBAMBA,22.568931030100767,22.3995892848765,22.62706008732492,23.849862940105798,22.01765555341618,23.45784123448573,22.786348506074486,23.124480572086313,22.32394472214553,22.169070234177138,24.054905396329392,22.35175543117196,22.171600335813142,22.76020152358884,21.99313697494411,23.78292492567322,22.304437818559258
