NOMBDEP,NOMBPROV,NOMBDIST,OTOÑO,MARZO,PRIMAVERA,JUNIO,NOVIEMBRE,INVIERNO,ABRIL,JULIO,AGOSTO,VERANO,FEBRERO,SETIEMBRE,ENERO,MAYO,ANUAL,DICIEMBRE,OCTUBRE
AMAZONAS,BAGUA,ARAMANGO,582.7135116299638,191.7352274041021,501.3765724905941,160.13321114008164,150.84835544040794,349.6904138141163,235.31634251332463,126.53564730382904,95.95621134443634,481.8164963400237,160.46055591848744,124.77077263468873,129.89448521045392,214.38258223431302,1996.225670907393,175.78515706369646,183.15735532638857
AMAZONAS,BAGUA,BAGUA,293.202866545085,114.02296369981757,263.40610913296507,64.73019395680132,81.20534741783524,145.01330596518363,113.2326508209567,48.64383235233401,40.11422762723803,258.4945509505915,74.43960997568409,54.308815872517364,55.416201952922975,106.30912983993225,909.3368624438189,82.43060362182425,82.73518957313063
AMAZONAS,BAGUA,COPALLIN,277.10385257172203,130.24533967972272,309.1888959363823,50.46394645696473,89.47008781760587,114.49581354028882,125.37184178613809,37.781657914012676,33.04556577754271,311.9617365699476,94.91004615038932,49.200815754581,73.47979185680482,94.71302783124912,979.0326085121528,105.77241733963257,102.15520229908017
AMAZONAS,BAGUA,EL PARCO,250.00000000000003,100.0,250.00000000000003,58.1738095303412,68.52391896364765,101.23104392934285,100.0,35.0,35.0,250.00000000000003,65.82565833159313,36.452653852607924,59.51024409385185,100.0,800.0,70.53408633447637,91.40669923126721
AMAZONAS,BAGUA,IMAZA,853.1003606018859,352.6856171585183,1057.8705636020281,187.36293437330275,300.94526362009276,448.69379557087774,354.4232011010763,190.71004353593656,98.12400082070164,972.0333477940055,334.45193848581835,176.07425292482418,311.07201994635733,331.0722785631746,3347.0258900508716,447.6603660150183,351.1192234757928
AMAZONAS,BAGUA,LA PECA,300.3422194242317,124.36721143406515,292.75853941133465,61.70575144042467,91.33393696486496,134.4590876030228,120.34592402057399,46.521945254023635,33.672215959856345,298.7396313226486,94.97640233801066,56.81283351435036,67.82834020229399,102.16948138617622,1003.3293310679983,100.45320340650647,101.8038534596668
AMAZONAS,BONGARA,CHISQUILLA,355.5703343209826,236.13569752162138,525.5282386813258,58.1828350331974,137.60418316806255,204.60932181912383,164.26586004908023,51.063010230637055,57.72357678673701,625.0371351461806,211.74177691164232,85.22947590526104,222.06769715884695,120.39798955822413,1657.0807501619809,183.44817969740635,198.97784172486337
AMAZONAS,BONGARA,CHURUJA,206.67318821597286,154.25297324978638,316.4681120003882,35.23804002496096,84.69951789480938,110.69306984689987,110.56940621379327,33.16285572155373,25.497664839216746,354.177979164034,117.08605104452114,51.41963880622235,88.79955188550326,60.16923642062553,942.8685676114806,99.76241297620605,111.37153713283791
AMAZONAS,BONGARA,COROSHA,309.5602229818669,183.31972468604403,481.43964547381046,47.21594682107157,116.30191907731337,160.4234511381328,158.05486547240275,47.21594682107157,46.235626706420945,482.63317750709956,167.55933919353322,61.4678847789884,174.6375529594153,94.33584153283832,1369.042957703616,156.45673807322152,201.43674111659442
AMAZONAS,BONGARA,CUISPES,247.86228861006816,148.1070797417545,324.5039607045895,44.94622743497015,81.10048343127517,116.9873141040052,123.54021461046136,45.41803726114549,26.703059246199654,336.1407629320987,109.65700391742989,53.9992828264067,91.94012353949296,58.27545227014204,1021.4351820291325,112.27577903349639,126.87227840926143
AMAZONAS,BONGARA,FLORIDA,280.69581524417316,154.75482170714764,388.53620099630035,42.50203902388137,90.50339428537755,121.0106158899705,157.04468208937644,38.65386219252912,26.760327260404015,406.5356556132814,127.0248591187849,52.637656283155394,107.4147592243019,72.24720833698973,1141.5675399915635,125.63693681871982,157.46713148891254
AMAZONAS,BONGARA,JAZAN,212.2235130730363,134.70346628079733,271.1933383683514,40.30572653503522,69.37931274894868,90.69257097908586,128.03862237614794,31.55828388337505,22.59415790261528,303.2139771078896,93.35451388244658,41.44752442893397,65.97880818485451,48.573988722637544,885.3627786836136,97.08524481425327,108.30403667490461
AMAZONAS,BONGARA,JUMBILLA,261.25281968331535,182.4553652344633,396.47183106083844,39.875797263346506,101.0844600847286,135.50790940112768,134.53330944063438,47.830712055149206,29.748366582075406,448.02081943574393,143.53599824981285,60.15250765673409,131.31643630470774,75.1818634299432,1243.6594139748154,136.4318729771801,146.84646377699767
AMAZONAS,BONGARA,RECTA,238.07282816512605,166.18447541727548,400.21362721198267,43.16305988709129,102.32309312666303,113.50044699688094,116.1289248503836,43.43894815654151,29.948021178315685,448.1285468788732,143.78243822179707,50.29576772944832,134.54825523198465,60.47920930769005,1178.1171437575244,141.70327815447646,149.86712698935557
AMAZONAS,BONGARA,SAN CARLOS,231.16482169270304,177.3887179600733,365.2199948492244,34.46692738806213,93.05920804535212,128.1614787490397,120.81646790939237,42.39638177535259,30.758682200092874,395.1646040298406,131.44459262059675,58.387440967649425,113.65405268736498,65.86637134235959,1092.9865029730279,119.61599354767621,129.26304595039127
AMAZONAS,BONGARA,SHIPASBAMBA,243.59509780381606,139.31029947742795,331.26935868330236,40.2493069757572,96.6683914979252,106.57556949070167,124.01318344984959,33.02616009125216,25.001403975686546,380.0501991785322,109.18326957575735,53.467287471994275,107.65025240338481,73.50795406263623,1031.035833781992,113.04558006643929,112.92775079298623
AMAZONAS,BONGARA,VALERA,175.02088732240202,160.6686952455143,327.61447497687675,21.890314459346524,101.8324452614917,94.79674876455124,90.95912577097263,22.14455785588272,20.323657071880902,423.0126365814193,132.04580291992983,50.966473124045535,102.80863373264509,56.19037456589153,995.1097222945316,108.07191087739204,114.49932354951753
