Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
AGO-2021,...,2166.0,55.00,153.00,...,...,...,,...,86.0,45.00
SEP-2021,...,2117.0,72.00,29.00,...,...,...,,...,94.0,61.00
OCT-2021,...,2097.0,57.00,30.00,...,...,...,,...,47.0,121.00
NOV-2021,...,2356.0,59.00,89.00,...,...,...,,...,199.0,31.00
DIC-2021,...,2091.0,28.00,130.00,...,...,...,,...,199.0,49.00
ENE-2022,...,1857.0,30.00,294.00,...,...,...,,...,123.0,...
FEB-2022,...,3304.0,374.00,240.00,...,...,...,,...,143.0,...
MAR-2022,...,3507.0,315.00,230.00,...,...,...,,...,626.0,153.00
ABR-2022,...,5129.0,330.00,332.00,...,...,...,,...,825.0,94.00
MAY-2022,...,4086.0,469.00,169.00,...,...,...,,...,661.0,90.00
JUN-2022,...,2304.0,260.00,164.00,...,...,...,,...,427.0,1356.00
JUL-2022,...,2111.0,211.00,122.00,...,...,...,,...,514.0,37.00
AGO-2022,...,800.0,135.00,56.00,...,...,...,,...,227.0,22.00
SEP-2022,...,662.0,1362.00,29.00,...,...,...,,...,357.0,106.00
OCT-2022,...,2135.0,961.00,381.00,...,...,...,,...,810.0,134.00
NOV-2022,...,700.0,374.00,...,...,...,...,,...,260.0,106.00
DIC-2022,...,918.0,212.00,30.00,...,...,...,,...,428.0,25.00
ENE-2023,...,1612.0,205.00,12.00,...,...,...,,...,652.0,...
FEB-2023,...,4388.0,635.00,163.00,...,...,...,,...,2458.0,153.00
MAR-2023,...,4934.0,751.00,...,...,...,...,,...,2302.0,321.00
ABR-2023,...,4443.0,803.00,...,...,...,...,,...,2976.0,154.00
MAY-2023,...,6359.0,486.00,68.00,...,...,...,,...,1526.0,57.00
JUN-2023,...,3643.0,227.00,26.00,...,...,...,,...,3198.0,125.00
JUL-2023,...,2092.0,185.00,22.00,...,...,...,,...,1701.0,118.00
AGO-2023,...,1012.0,91.00,...,...,...,...,,...,124.0,16.00
SEP-2023,...,1902.0,767.00,...,...,...,...,,...,387.0,58.00
OCT-2023,...,1675.0,341.00,...,...,...,...,,...,173.0,84.00
NOV-2023,...,1738.0,519.00,...,...,...,...,,...,171.0,57.00
DIC-2023,...,1892.0,96.00,...,...,...,...,,...,514.0,18.00
ENE-2024,...,5602.0,59.00,114.00,...,...,...,,...,1958.0,210.00
FEB-2024,...,6556.0,90.00,59.00,...,...,...,,...,1838.0,94.00
MAR-2024,...,5198.0,17.00,102.00,...,...,...,,...,718.0,82.00
ABR-2024,...,3948.0,30.00,57.00,...,...,...,,...,830.0,75.00
MAY-2024,...,4963.0,35.00,...,...,...,...,,...,1033.0,57.00
JUN-2024,...,5181.0,34.00,...,...,...,...,,...,1293.0,58.00
JUL-2024,...,2474.0,39.00,...,...,...,...,,...,656.0,93.00
AGO-2024,...,3467.0,235.00,...,...,...,...,,...,617.0,205.00
SEP-2024,...,3452.0,324.00,27.00,...,...,...,,...,546.0,172.00
OCT-2024,...,3811.0,261.00,...,...,...,...,,...,234.0,515.00
NOV-2024,1.00,1603.0,290.00,...,...,7.00,...,,...,44.0,80.00
DIC-2024,...,1818.0,164.00,30.00,...,...,...,,...,267.0,90.00
