Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2021,164.0,1387.0,44.00,33.00,...,...,...,,...,24.00,76.00
FEB-2021,42.0,1092.0,30.00,39.00,...,11.00,...,,...,...,104.00
MAR-2021,181.0,1830.0,23.00,173.00,...,11.00,...,,...,...,228.00
ABR-2021,335.0,1833.0,11.00,111.00,...,61.00,20.00,,...,10.00,308.00
MAY-2021,261.0,1798.0,...,124.00,4.00,...,...,,...,...,194.00
JUN-2021,54.0,1778.0,...,47.00,...,61.00,...,,...,...,129.00
JUL-2021,51.0,2187.0,28.00,111.00,...,65.00,...,,...,18.00,230.00
AGO-2021,160.0,2219.0,8.00,144.00,...,...,...,,...,...,247.00
SEP-2021,82.0,1716.0,...,47.00,...,...,...,,...,...,280.00
OCT-2021,150.0,1375.0,...,79.00,...,19.00,...,,...,8.00,80.00
NOV-2021,44.0,900.0,23.00,61.00,...,...,...,,...,...,41.00
DIC-2021,133.0,1586.0,...,80.00,...,...,...,,...,...,11.00
ENE-2022,39.0,717.0,...,63.00,...,...,...,,...,...,...
FEB-2022,55.0,683.0,57.00,65.00,...,...,...,,10.00,...,...
MAR-2022,182.0,1443.0,118.00,181.00,...,46.00,...,,...,...,147.00
ABR-2022,254.0,1314.0,120.00,97.00,...,104.00,...,,...,...,73.00
MAY-2022,136.0,821.0,102.00,39.00,...,93.00,...,,...,10.00,52.00
JUN-2022,170.0,1061.0,16.00,40.00,...,80.00,...,,...,12.00,103.00
JUL-2022,172.0,1907.0,...,170.00,...,52.00,...,,...,17.00,35.00
AGO-2022,141.0,1397.0,85.00,128.00,...,104.00,...,,35.00,...,58.00
SEP-2022,98.0,364.0,30.00,63.00,...,78.00,...,,...,...,60.00
OCT-2022,19.0,292.0,10.00,16.00,...,...,...,,...,...,16.00
NOV-2022,73.0,246.0,20.00,52.00,...,12.00,...,,...,...,62.00
DIC-2022,115.0,507.0,42.00,48.00,...,104.00,...,,...,...,52.00
ENE-2023,91.0,666.0,97.00,15.00,...,71.00,...,,...,...,90.00
FEB-2023,65.0,571.0,107.00,23.00,...,10.00,...,,15.00,...,190.00
MAR-2023,60.0,724.0,58.00,33.00,...,21.00,...,,...,12.00,151.00
ABR-2023,108.0,1230.0,168.00,94.00,...,36.00,...,,...,...,221.00
MAY-2023,50.0,1524.0,14.00,48.00,...,85.00,...,,...,18.00,75.00
JUN-2023,61.0,1226.0,17.00,74.00,...,156.00,...,,...,...,210.00
JUL-2023,69.0,1443.0,21.00,56.00,...,117.00,...,,...,...,60.00
AGO-2023,136.0,1589.0,...,21.00,...,35.00,...,,...,...,259.00
SEP-2023,72.0,1110.0,8.00,30.00,...,34.00,...,,18.00,...,110.00
OCT-2023,16.0,635.0,...,26.00,...,12.00,...,,...,...,51.00
NOV-2023,42.0,729.0,...,...,...,...,...,,...,...,31.00
DIC-2023,88.0,989.0,29.00,18.00,...,48.00,...,,...,...,79.00
ENE-2024,112.0,753.0,5.00,26.00,...,...,...,,...,...,71.00
FEB-2024,21.0,796.0,17.00,2.00,...,10.00,...,,...,...,42.00
MAR-2024,23.0,1085.0,3.00,84.00,...,40.00,...,,...,...,36.00
ABR-2024,29.0,1051.0,...,139.00,...,18.00,...,,...,...,23.00
MAY-2024,34.0,1080.0,19.00,22.00,...,58.00,...,,...,...,7.00
JUN-2024,26.0,1255.0,...,11.00,...,36.00,...,,...,...,142.00
JUL-2024,68.0,1895.0,43.00,60.00,...,105.00,...,,...,...,156.00
AGO-2024,50.0,1586.0,...,15.00,...,170.00,...,,...,13.00,177.00
SEP-2024,39.0,989.0,35.00,11.00,...,70.00,...,,...,...,115.00
OCT-2024,12.0,581.0,24.00,4.00,...,56.00,...,,...,...,73.00
NOV-2024,11.0,590.0,7.00,31.00,...,68.00,...,,...,...,53.00
DIC-2024,45.0,799.0,31.00,26.00,...,27.00,...,,...,...,17.00
