Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
MAY-2020,689.0,4713.0,206.00,510.0,49.00,253.00,...,...,...,...,658.0
JUN-2020,888.0,5245.0,231.00,667.00,...,215.00,...,,...,26.00,628.0
JUL-2020,1052.0,5661.0,269.00,635.00,...,142.00,...,,...,129.00,797.0
AGO-2020,1127.0,6310.0,229.00,364.00,...,...,...,,...,67.00,971.0
SEP-2020,1697.0,8208.0,102.00,539.00,...,...,...,,...,120.00,1197.0
OCT-2020,2508.0,10830.0,608.00,532.00,...,102.00,36.00,,...,117.00,1242.0
NOV-2020,2248.0,9171.0,99.00,461.00,...,29.00,...,,...,148.00,1628.0
DIC-2020,2401.0,10430.0,391.00,522.00,...,168.00,...,,...,391.00,1389.0
ENE-2021,2934.0,14154.0,656.00,579.00,23.00,348.00,...,,40.00,432.00,1264.0
FEB-2021,1653.0,12059.0,540.00,762.00,43.00,213.00,...,,20.00,64.00,2266.0
MAR-2021,2719.0,14423.0,312.00,823.00,...,331.00,...,,...,79.00,1860.0
ABR-2021,2273.0,9360.0,193.00,1255.00,17.00,336.00,...,,...,83.00,1305.0
MAY-2021,1400.0,5369.0,102.00,201.00,41.00,386.00,...,,...,116.00,589.0
JUN-2021,1248.0,5847.0,24.00,194.00,37.00,213.00,...,,...,51.00,548.0
JUL-2021,1306.0,9150.0,317.00,383.00,...,15.00,...,,...,127.00,1005.0
AGO-2021,1482.0,9375.0,42.00,377.00,...,75.00,...,,...,36.00,1153.0
SEP-2021,1831.0,10812.0,126.00,198.00,...,84.00,...,,15.00,91.00,1054.0
OCT-2021,2785.0,12891.0,32.00,793.00,...,63.00,...,,...,97.00,587.0
NOV-2021,2391.0,13055.0,152.00,820.00,...,12.00,18.00,,...,82.00,1274.0
DIC-2021,3284.0,16439.0,331.00,988.00,...,50.00,...,,...,179.00,1239.0
ENE-2022,2162.0,15189.0,139.00,1580.00,...,45.00,...,,22.00,203.00,906.0
FEB-2022,3142.0,15616.0,1129.00,1141.00,...,81.00,...,,...,167.00,676.0
MAR-2022,3089.0,10622.0,1069.00,1313.00,18.00,517.00,25.00,,...,161.00,1238.0
ABR-2022,1911.0,7533.0,388.00,470.00,...,587.00,...,,...,209.00,491.0
MAY-2022,1305.0,3664.0,375.00,109.00,...,420.00,...,,...,116.00,166.0
JUN-2022,1271.0,3490.0,371.00,151.00,...,366.00,...,,...,40.00,185.0
JUL-2022,951.0,6300.0,95.00,245.00,...,330.00,...,,...,21.00,363.0
AGO-2022,1991.0,5405.0,477.00,338.00,...,180.00,...,,4.00,120.00,1014.0
SEP-2022,2299.0,6591.0,704.00,356.00,...,232.00,...,,...,119.00,1470.0
OCT-2022,2140.0,11458.0,803.00,546.00,38.00,480.00,...,,...,268.00,2641.0
NOV-2022,2133.0,10467.0,1261.00,411.00,...,11.00,...,,...,168.00,2998.0
DIC-2022,2528.0,10699.0,840.00,344.00,...,456.00,...,,...,156.00,2389.0
ENE-2023,3079.0,14744.0,2409.00,126.00,24.00,626.00,1.00,,...,65.00,2434.0
FEB-2023,3175.0,16452.0,1966.00,316.00,...,581.00,...,,...,123.00,3758.0
MAR-2023,4485.0,15085.0,660.00,346.00,9.00,399.00,...,,...,23.00,2468.0
ABR-2023,3935.0,12225.0,1040.00,237.00,...,516.00,...,,...,19.00,1709.0
MAY-2023,2405.0,9664.0,693.00,43.00,...,430.00,...,,...,24.00,520.0
JUN-2023,2106.0,8907.0,373.00,120.00,...,278.00,...,,10.00,17.00,806.0
JUL-2023,2067.0,7978.0,582.00,149.00,...,133.00,...,,...,6.00,1173.0
AGO-2023,2153.0,8151.0,130.00,64.00,...,32.00,...,,...,98.00,947.0
SEP-2023,1960.0,9469.0,38.00,10.00,19.00,11.00,...,,...,55.00,1084.0
OCT-2023,2335.0,13304.0,85.00,45.00,...,21.00,11.00,,...,...,1616.0
NOV-2023,2560.0,11469.0,92.00,47.00,1.00,...,...,,...,32.00,1809.0
DIC-2023,2108.0,12919.0,165.00,17.00,...,78.00,...,,24.00,75.00,1815.0
ENE-2024,2326.0,15701.0,171.00,152.00,...,179.00,...,,19.00,34.00,2352.0
FEB-2024,1904.0,13652.0,124.00,237.00,...,173.00,...,,...,60.00,928.0
MAR-2024,2290.0,11350.0,133.00,535.00,...,506.00,...,,...,...,809.0
ABR-2024,1638.0,7975.0,17.00,448.00,...,333.00,...,,...,80.00,411.0
MAY-2024,858.0,5175.0,75.00,32.00,...,301.00,...,,...,...,190.0
JUN-2024,764.0,4292.0,...,14.00,...,224.00,...,,...,...,303.0
JUL-2024,849.0,4980.0,98.00,14.00,...,312.00,...,,...,...,537.0
AGO-2024,1150.0,5974.0,35.00,...,...,173.00,10.00,,...,70.00,785.0
SEP-2024,1480.0,8427.0,...,94.00,45.00,348.00,...,,...,22.00,1623.0
OCT-2024,2504.0,11021.0,...,74.00,...,467.00,...,,...,77.00,2388.0
NOV-2024,2175.0,13963.0,189.00,163.00,...,275.00,...,,...,44.00,1719.0
DIC-2024,1914.0,13385.0,1174.00,105.00,...,316.00,...,,...,...,1339.0
