Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
ENE-2024,...,80.00,...,...,...,...,...,,...,2.00,3.00
FEB-2024,...,49.00,...,...,...,...,...,,...,...,...
MAR-2024,...,67.00,...,...,...,...,...,,...,11.00,2.00
ABR-2024,...,66.00,2.00,...,...,...,...,,...,...,...
MAY-2024,...,99.00,...,...,...,...,...,,...,5.00,3.00
JUN-2024,...,50.00,9.00,...,...,...,...,,...,...,2.00
JUL-2024,...,8189.00,72.00,...,...,...,...,,...,1290.00,297.00
AGO-2024,...,14746.00,448.00,306.00,...,...,...,,...,3071.00,581.00
SEP-2024,...,15044.00,643.00,156.00,...,247.00,...,,...,2517.00,1404.00
OCT-2024,...,11998.00,852.00,40.00,...,...,...,,...,2453.00,1876.00
NOV-2024,...,4682.00,142.00,83.00,...,29.00,...,,...,656.00,156.00
DIC-2024,...,1639.00,135.00,...,...,...,...,,...,189.00,197.00
