Fecha,Papa Amarilla,Papa Blanca,Papa Canchan,Papa Color,Papa Huamantanga,Papa Huayro,Papa Negra Andina,Papa Perricholi,Papa Peruanita,Papa Unica,Papa Yungay
NOV-2021,...,45.0,...,...,...,...,...,,...,...,...
DIC-2021,...,86.0,...,...,...,...,...,,...,...,...
ENE-2022,20.00,156.0,6.00,17.00,...,...,...,,...,...,...
FEB-2022,29.00,336.0,...,38.00,...,...,...,,...,...,22.00
MAR-2022,103.00,943.0,47.00,51.00,...,67.00,...,,...,...,49.00
ABR-2022,114.00,1349.0,114.00,35.00,...,73.00,...,,...,64.00,55.00
MAY-2022,112.00,1193.0,142.00,61.00,...,238.00,...,,...,208.00,356.00
JUN-2022,107.00,635.0,89.00,56.00,...,166.00,...,,...,76.00,220.00
JUL-2022,29.00,540.0,...,50.00,...,4.00,...,,...,...,...
AGO-2022,11.00,389.0,28.00,19.00,...,56.00,...,,27.00,...,98.00
SEP-2022,...,103.0,28.00,...,...,10.00,...,,...,...,50.00
OCT-2022,...,59.0,21.00,...,...,...,...,,...,14.00,4.00
NOV-2022,...,16.0,...,...,...,...,...,,...,...,27.00
DIC-2022,5.00,23.0,...,...,...,...,...,,...,...,31.00
ENE-2023,...,200.0,12.00,12.00,...,...,...,,...,...,44.00
FEB-2023,...,258.0,...,...,...,33.00,...,,...,...,109.00
MAR-2023,20.00,648.0,...,14.00,...,...,...,,...,...,233.00
ABR-2023,118.00,962.0,40.00,31.00,...,19.00,...,,13.00,...,162.00
MAY-2023,...,1296.0,44.00,19.00,...,10.00,...,,...,...,128.00
JUN-2023,...,568.0,26.00,...,...,...,...,,...,...,175.00
JUL-2023,11.00,332.0,...,...,...,...,...,,...,...,111.00
AGO-2023,42.00,272.0,...,...,...,12.00,...,,...,...,82.00
SEP-2023,44.00,199.0,...,...,...,...,...,,...,...,33.00
OCT-2023,9.00,237.0,...,...,...,...,...,,...,...,27.00
NOV-2023,...,179.0,...,...,...,...,...,,...,...,70.00
DIC-2023,...,315.0,...,...,...,...,...,,11.00,...,98.00
ENE-2024,...,451.0,19.00,...,...,...,...,,20.00,...,49.00
FEB-2024,...,375.0,...,...,...,...,...,,...,...,78.00
MAR-2024,18.00,1145.0,...,26.00,...,59.00,...,,...,...,169.00
ABR-2024,12.00,1231.0,23.00,11.00,...,23.00,...,,...,...,267.00
MAY-2024,17.00,890.0,...,...,...,97.00,...,,...,...,34.00
JUN-2024,5.00,669.0,...,...,...,...,...,,...,...,26.00
JUL-2024,...,277.0,...,...,...,11.00,...,,...,...,92.00
AGO-2024,...,256.0,...,...,...,...,...,,22.00,...,...
SEP-2024,...,114.0,...,...,...,...,...,,...,...,21.00
OCT-2024,...,38.0,...,...,...,...,...,,...,10.00,31.00
NOV-2024,...,90.0,...,...,...,7.00,...,,...,...,14.00
DIC-2024,...,184.0,...,...,...,...,...,,...,11.00,...
